Pi Timestamp,Arduino Timestamp (s),Flow Rate (L/min),Total Liters
2025-03-23 23:52:31.790,1.000,0.00,0.00
2025-03-23 23:52:32.789,2.000,0.00,0.00
2025-03-23 23:52:33.788,3.000,0.00,0.00
2025-03-23 23:52:34.788,4.000,0.00,0.00
2025-03-23 23:52:35.787,5.000,0.00,0.00
2025-03-23 23:52:36.787,6.000,0.00,0.00
2025-03-23 23:52:37.786,7.000,0.00,0.00
2025-03-23 23:52:38.785,8.000,0.00,0.00
2025-03-23 23:52:39.785,9.000,0.00,0.00
2025-03-23 23:52:40.784,10.000,0.00,0.00
2025-03-23 23:52:41.784,11.000,0.00,0.00
2025-03-23 23:52:42.783,12.000,0.00,0.00
2025-03-23 23:52:43.783,13.000,0.00,0.00
2025-03-23 23:52:44.782,14.000,0.00,0.00
2025-03-23 23:52:45.781,15.000,0.00,0.00
2025-03-23 23:52:46.781,16.000,0.00,0.00
2025-03-23 23:52:47.780,17.000,0.00,0.00
2025-03-23 23:52:48.779,18.000,0.00,0.00
2025-03-23 23:52:49.779,19.000,40.00,0.67
2025-03-23 23:52:50.782,20.000,64.00,1.73
2025-03-23 23:52:51.778,21.000,32.00,2.27
2025-03-23 23:52:52.781,22.000,32.00,2.80
2025-03-23 23:52:53.776,23.000,48.00,3.60
2025-03-23 23:52:54.780,24.000,48.00,4.40
2025-03-23 23:52:55.779,25.000,24.00,4.80
2025-03-23 23:52:56.779,26.000,224.00,8.53
2025-03-23 23:52:57.778,27.000,256.00,12.80
2025-03-23 23:52:58.777,28.000,208.00,16.27
2025-03-23 23:52:59.777,29.000,192.00,19.47
2025-03-23 23:53:00.776,30.000,168.00,22.27
2025-03-23 23:53:01.776,31.000,136.00,24.53
2025-03-23 23:53:02.775,32.000,120.00,26.53
2025-03-23 23:53:03.774,33.000,104.00,28.27
2025-03-23 23:53:04.774,34.000,80.00,29.60
2025-03-23 23:53:05.773,35.000,64.00,30.67
2025-03-23 23:53:06.773,36.000,56.00,31.60
2025-03-23 23:53:07.772,37.000,40.00,32.27
2025-03-23 23:53:08.772,38.000,24.00,32.67
2025-03-23 23:53:09.771,39.000,16.00,32.93
2025-03-23 23:53:10.770,40.000,8.00,33.07
2025-03-23 23:53:11.769,41.000,0.00,33.07
2025-03-23 23:53:12.769,42.000,0.00,33.07
2025-03-23 23:53:13.768,43.000,0.00,33.07
2025-03-23 23:53:14.768,44.000,0.00,33.07
2025-03-23 23:53:15.767,45.000,0.00,33.07
2025-03-23 23:53:16.766,46.000,0.00,33.07
2025-03-23 23:53:17.766,47.000,0.00,33.07
2025-03-23 23:53:18.765,48.000,0.00,33.07
