Pi Timestamp,Arduino Timestamp (s),Voltage (V),Pressure (PSI)
2025-03-23 23:49:07.832,2.000,0.425,0.00
2025-03-23 23:49:08.831,3.000,0.430,0.00
2025-03-23 23:49:09.831,4.000,0.425,0.00
2025-03-23 23:49:10.830,5.000,0.430,0.00
2025-03-23 23:49:11.829,6.000,0.435,0.00
2025-03-23 23:49:12.832,7.000,0.430,0.00
2025-03-23 23:49:13.828,8.000,0.430,0.00
2025-03-23 23:49:14.827,9.000,0.430,0.00
2025-03-23 23:49:15.827,10.000,0.430,0.00
2025-03-23 23:49:16.826,11.000,0.430,0.00
2025-03-23 23:49:17.825,12.000,0.435,0.00
2025-03-23 23:49:18.825,13.000,0.435,0.00
2025-03-23 23:49:19.824,14.000,0.430,0.00
2025-03-23 23:49:20.824,15.000,0.430,0.00
2025-03-23 23:49:21.823,16.000,0.435,0.00
2025-03-23 23:49:22.822,17.000,0.430,0.00
2025-03-23 23:49:23.826,18.000,0.430,0.00
2025-03-23 23:49:24.821,19.000,0.435,0.00
2025-03-23 23:49:25.824,20.000,0.435,0.00
2025-03-23 23:49:26.824,21.000,0.430,0.00
2025-03-23 23:49:27.823,22.000,0.425,0.00
2025-03-23 23:49:28.823,23.000,0.435,0.00
2025-03-23 23:49:29.822,24.000,0.430,0.00
2025-03-23 23:49:30.821,25.000,0.430,0.00
2025-03-23 23:49:31.821,26.000,0.435,0.00
2025-03-23 23:49:32.820,27.000,0.430,0.00
2025-03-23 23:49:33.820,28.000,0.430,0.00
2025-03-23 23:49:34.819,29.000,0.430,0.00
2025-03-23 23:49:35.818,30.000,0.435,0.00
2025-03-23 23:49:36.818,31.000,0.430,0.00
2025-03-23 23:49:37.817,32.000,0.430,0.00
2025-03-23 23:49:38.817,33.000,0.435,0.00
2025-03-23 23:49:39.816,34.000,0.435,0.00
2025-03-23 23:49:40.815,35.000,0.430,0.00
2025-03-23 23:49:41.815,36.000,0.430,0.00
2025-03-23 23:49:42.814,37.000,0.435,0.00
2025-03-23 23:49:43.814,38.000,0.435,0.00
2025-03-23 23:49:44.813,39.000,0.430,0.00
2025-03-23 23:49:45.812,40.000,0.435,0.00
2025-03-23 23:49:46.812,41.000,0.435,0.00
2025-03-23 23:49:47.811,42.000,0.430,0.00
2025-03-23 23:49:48.811,43.000,0.430,0.00
2025-03-23 23:49:49.810,44.000,0.435,0.00
