Pi Timestamp,Arduino Time (ms),Pulse Count (Inlet)
2025-05-04 18:05:04.061,1000,0
2025-05-04 18:05:04.560,1500,0
2025-05-04 18:05:05.060,2000,0
2025-05-04 18:05:05.560,2500,0
2025-05-04 18:05:06.059,3000,0
2025-05-04 18:05:06.559,3500,0
2025-05-04 18:05:07.059,4000,0
2025-05-04 18:05:07.558,4500,0
2025-05-04 18:05:08.058,5000,0
2025-05-04 18:05:08.558,5500,0
2025-05-04 18:05:09.058,6000,0
2025-05-04 18:05:09.557,6500,0
2025-05-04 18:05:10.057,7000,0
2025-05-04 18:05:10.557,7500,0
2025-05-04 18:05:11.056,8000,0
2025-05-04 18:05:11.556,8500,0
2025-05-04 18:05:12.056,9000,0
2025-05-04 18:05:12.555,9500,0
2025-05-04 18:05:13.056,10000,0
2025-05-04 18:05:13.555,10500,0
2025-05-04 18:05:14.059,11000,0
2025-05-04 18:05:14.554,11500,0
2025-05-04 18:05:15.054,12000,0
