Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI)
2025-05-03 22:38:42.176,200,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.181,300,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.184,400,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.191,500,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.286,600,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.379,700,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.475,800,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.580,900,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.679,1000,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.779,1100,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.879,1200,0.00,0.00,0.00,0.00
2025-05-03 22:38:42.977,1300,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.078,1400,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.176,1500,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.276,1600,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.379,1700,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.476,1800,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.577,1900,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.677,2000,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.774,2100,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.876,2200,0.00,0.00,0.00,0.00
2025-05-03 22:38:43.976,2300,0.00,0.00,0.00,0.00
2025-05-03 22:38:44.078,2400,0.00,0.00,0.00,0.00
2025-05-03 22:38:44.176,2500,0.00,0.00,0.00,0.00
2025-05-03 22:38:44.279,2600,0.00,0.00,0.00,0.00
2025-05-03 22:38:44.379,2700,0.00,0.00,0.00,0.00
2025-05-03 22:38:44.479,2800,0.00,0.00,0.00,0.00
2025-05-03 22:38:44.580,2900,0.00,0.00,0.00,0.00
2025-05-03 22:38:44.676,3000,0.00,0.00,0.00,0.00
2025-05-03 22:38:44.778,3100,0.00,0.00,0.00,0.00
