Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI),Motor Current (A),Motor Voltage (V),Motor RPM
2025-05-04 17:04:33.850,200,0.00,0.00,0.00,0.00,-0.555,4.630,975.68
2025-05-04 17:04:33.851,300,0.00,0.00,0.00,0.00,-0.555,4.630,975.68
2025-05-04 17:04:33.852,400,0.00,0.00,0.00,0.00,-0.555,4.630,975.68
2025-05-04 17:04:33.886,500,0.00,0.00,0.00,0.00,-0.555,4.630,975.68
2025-05-04 17:04:33.984,600,0.00,0.00,0.00,0.00,-0.555,4.630,975.68
2025-05-04 17:04:34.086,700,0.00,0.00,0.00,0.00,-3.026,4.630,1022.75
2025-05-04 17:04:34.185,800,0.00,0.00,0.00,0.00,-3.026,6.436,1022.75
2025-05-04 17:04:34.287,900,0.00,0.00,0.00,0.00,-3.026,6.436,1045.83
2025-05-04 17:04:34.385,1000,0.00,0.00,0.00,0.00,-1.701,6.725,1045.83
2025-05-04 17:04:34.488,1100,0.00,0.00,0.00,0.00,-1.701,6.725,1045.83
2025-05-04 17:04:34.586,1200,0.00,0.00,0.00,0.00,-2.973,6.725,1077.23
2025-05-04 17:04:34.692,1300,0.00,0.00,0.00,0.00,-2.973,6.830,1077.23
2025-05-04 17:04:34.787,1400,80.00,0.00,0.00,0.00,-2.973,6.830,1091.83
2025-05-04 17:04:34.885,1500,0.00,0.00,0.00,0.00,-3.420,6.979,1091.83
2025-05-04 17:04:34.988,1600,0.00,0.00,0.00,0.00,-3.420,6.979,1091.83
2025-05-04 17:04:35.088,1700,0.00,0.00,0.00,0.00,-2.543,6.979,1104.38
2025-05-04 17:04:35.189,1800,0.00,0.00,0.00,0.00,-2.543,6.875,1104.38
2025-05-04 17:04:35.287,1900,0.00,0.00,0.00,0.00,-2.543,6.875,1114.94
2025-05-04 17:04:35.389,2000,0.00,0.00,0.00,0.00,-1.647,7.115,1114.94
2025-05-04 17:04:35.487,2100,0.00,0.00,0.00,0.00,-1.647,7.115,1114.94
2025-05-04 17:04:35.585,2200,0.00,0.00,0.00,0.00,-1.647,7.115,1118.61
2025-05-04 17:04:35.688,2300,0.00,0.00,0.00,0.00,-3.026,6.848,1118.61
2025-05-04 17:04:35.787,2400,0.00,0.00,0.00,0.00,-3.026,6.848,1118.61
2025-05-04 17:04:35.885,2500,0.00,0.00,0.00,0.00,-3.456,7.077,1126.98
2025-05-04 17:04:35.990,2600,80.00,0.00,0.00,0.00,-3.456,7.077,1126.98
2025-05-04 17:04:36.086,2700,0.00,0.00,0.00,0.00,-3.456,7.077,1122.63
2025-05-04 17:04:36.188,2800,0.00,0.00,0.00,0.00,-0.358,6.894,1122.63
2025-05-04 17:04:36.288,2900,0.00,0.00,0.00,0.00,-0.358,6.894,1122.63
2025-05-04 17:04:36.387,3000,0.00,0.00,0.00,0.00,-0.680,7.217,1122.15
2025-05-04 17:04:36.487,3100,0.00,0.00,0.00,0.00,-0.680,7.217,1122.15
2025-05-04 17:04:36.586,3200,80.00,0.00,0.00,0.00,-0.680,7.217,1118.39
2025-05-04 17:04:36.688,3300,0.00,0.00,0.00,0.00,-3.062,6.764,1118.39
2025-05-04 17:04:36.786,3400,0.00,0.00,0.00,0.00,-3.062,6.764,1118.39
2025-05-04 17:04:36.884,3500,0.00,0.00,0.00,0.00,-1.433,6.933,1105.53
2025-05-04 17:04:36.986,3600,80.00,0.00,0.00,0.00,-1.433,6.933,1105.53
2025-05-04 17:04:37.084,3700,0.00,0.00,0.00,0.00,-1.433,6.933,1113.67
2025-05-04 17:04:37.187,3800,0.00,0.00,0.00,0.00,-3.044,6.959,1113.67
2025-05-04 17:04:37.285,3900,0.00,0.00,0.00,0.00,-3.044,6.959,1113.67
2025-05-04 17:04:37.388,4000,80.00,0.00,0.00,0.00,-4.155,6.906,1116.71
2025-05-04 17:04:37.486,4100,0.00,0.00,0.00,0.00,-4.155,6.906,1116.71
2025-05-04 17:04:37.584,4200,80.00,0.00,0.00,0.00,-4.155,6.906,1114.46
2025-05-04 17:04:37.687,4300,0.00,0.00,0.00,0.00,-2.865,6.822,1114.46
2025-05-04 17:04:37.786,4400,80.00,0.00,0.00,0.00,-2.865,6.822,1114.46
2025-05-04 17:04:37.887,4500,0.00,0.00,0.00,0.00,-2.865,7.024,1129.77
2025-05-04 17:04:37.986,4600,0.00,0.00,0.00,0.00,-1.343,7.024,1129.77
2025-05-04 17:04:38.086,4700,80.00,0.00,0.00,0.00,-1.343,7.024,1129.77
2025-05-04 17:04:38.186,4800,0.00,0.00,0.00,0.00,-3.402,7.043,1142.39
2025-05-04 17:04:38.286,4900,0.00,0.00,0.00,0.00,-3.402,7.043,1142.39
2025-05-04 17:04:38.383,5000,0.00,0.00,0.00,0.00,-3.402,7.097,1160.07
2025-05-04 17:04:38.485,5100,80.00,0.00,0.00,0.00,-2.274,7.097,1160.07
2025-05-04 17:04:38.583,5200,0.00,0.00,0.00,0.00,-2.274,7.097,1160.07
2025-05-04 17:04:38.687,5300,80.00,0.00,0.00,0.00,-2.686,7.332,1177.12
2025-05-04 17:04:38.784,5400,0.00,0.00,0.00,0.00,-2.686,7.332,1177.12
2025-05-04 17:04:38.887,5500,80.00,0.00,0.00,0.00,-2.686,7.534,1216.56
2025-05-04 17:04:38.985,5600,80.00,0.00,0.00,0.00,-0.233,7.534,1216.56
2025-05-04 17:04:39.084,5700,0.00,0.00,0.00,0.00,-0.233,7.534,1216.56
2025-05-04 17:04:39.186,5800,80.00,0.00,0.00,0.00,-0.143,7.754,1260.46
2025-05-04 17:04:39.284,5900,0.00,0.00,0.00,0.00,-0.143,7.754,1260.46
2025-05-04 17:04:39.387,6000,80.00,0.00,0.00,0.00,-0.143,7.958,1308.17
2025-05-04 17:04:39.485,6100,80.00,0.00,0.00,0.00,-0.842,7.958,1308.17
2025-05-04 17:04:39.585,6200,0.00,0.00,0.00,0.00,-0.842,7.958,1308.17
2025-05-04 17:04:39.686,6300,80.00,0.00,0.00,0.00,-3.868,7.998,1313.72
2025-05-04 17:04:39.784,6400,160.00,0.00,0.00,0.00,-3.868,7.998,1313.72
2025-05-04 17:04:39.884,6500,0.00,0.00,0.00,0.00,-3.868,8.410,1361.43
2025-05-04 17:04:39.985,6600,80.00,0.00,0.00,0.00,-2.919,8.410,1361.43
2025-05-04 17:04:40.083,6700,0.00,0.00,0.00,0.00,-2.919,8.410,1361.43
2025-05-04 17:04:40.185,6800,80.00,0.00,0.00,0.00,-2.919,8.745,1387.10
2025-05-04 17:04:40.287,6900,160.00,0.00,0.00,0.00,-0.072,8.745,1387.10
2025-05-04 17:04:40.382,7000,0.00,0.00,0.00,0.00,-0.072,8.526,1420.07
2025-05-04 17:04:40.484,7100,80.00,0.00,0.00,0.00,-3.761,8.526,1420.07
2025-05-04 17:04:40.586,7200,160.00,0.00,0.00,0.00,-3.761,8.526,1420.07
2025-05-04 17:04:40.685,7300,0.00,0.00,0.00,0.00,-3.761,9.246,1445.71
2025-05-04 17:04:40.783,7400,80.00,0.00,0.00,0.00,-0.609,9.246,1445.71
2025-05-04 17:04:40.885,7500,80.00,0.00,0.00,0.00,-0.609,8.939,1445.71
2025-05-04 17:04:40.984,7600,80.00,0.00,0.00,0.00,-2.776,8.939,1476.75
2025-05-04 17:04:41.086,7700,160.00,0.00,0.00,0.00,-2.776,8.939,1476.75
2025-05-04 17:04:41.184,7800,0.00,0.00,0.00,0.00,-2.776,8.935,1506.59
2025-05-04 17:04:41.283,7900,80.00,0.00,0.00,0.00,-1.701,8.935,1506.59
2025-05-04 17:04:41.385,8000,80.00,0.00,0.00,0.00,-1.701,9.011,1506.59
2025-05-04 17:04:41.483,8100,80.00,0.00,0.00,0.00,-1.057,9.011,1521.56
2025-05-04 17:04:41.586,8200,240.00,0.00,0.00,0.00,-1.057,9.011,1521.56
2025-05-04 17:04:41.685,8300,80.00,0.00,0.00,0.00,-1.057,9.542,1551.67
